Designator,Footprint,Quantity,Value,LCSC Part #
BT401,BatteryHolder_SMD_1x18650,1,18650, C2988620
"C101, C102, C201, C202, C203, C204, C205, C206, C207, C208, C209, C301, C401, C402, C408, C416, C417, C420, C426",0402,19,100n,C307331
"C302, C419, C421, C422, C423, C424, C425",0603,7,10u,C19702
"C403, C404, C418",0603,3,1u,C15849
C405,0402,1,10n,C15195
C406,0402,1,1n,C1523
"C407, C414, C415",CP_Elec_8x10,3,150u,C2898894
"C409, C410, C413",1206,3,10u,C13585
C411,0402,1,1u,C52923
C412,0603,1,2u2,C23630
"D101, D102, D202, D402, D403, D406, D407, D408",0603,8,LED,C2286
"D201, D404, D405",D_SOD-323,3,1N5819WS,C191023
D203,D_SMA,1,SS54,C22452
D401,D_SMA,1,SMAJ24CA,C20883150
"H101, H102, H103, H104",MountingHole_3.2mm_M3,4,M3,
"J102, J210","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",2,Term 3.5mm,C409115
"J103, J104",RJ45_Amphenol_RJHSE5380,2,RJ45,C19078599
J201,PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left,1,"OLED 0.96"" (I2C)",C20071191
"J202, J203, J204, J205, J206, J207, J208, J209",Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,8,Picoblade,C2845535
L401,L_Bourns_SRP1050WA,1,6.8uH,C32712978
L402,L_Changjiang_FNR4030S,1,100uH,C7588681
L403,1008,1,2.2uH,C964122
P101,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Plug_USB2.0,C2927039
Q201,SOT-23,1,SI2301,C10487
"Q202, Q401",VSON-8_3.3x3.3mm_P0.65mm_NexFET,2,DOZ35N06,C36499167
"Q402, Q403, Q404",SOT-23,3,2N7002,C8545
"R102, R103, R104, R107, R202, R410, R420, R421, R429, R439, R440, R446",0402,12,1k,
"R105, R106, R416, R419, R448",0402,5,4k3,
"R108, R436, R437, R445, R447",0402,5,10k,
"R201, R203, R205, R403, R404, R406, R407, R425, R444",0402,9,20k,
"R204, R413, R441, R442",0402,4,560R,
R301,0805,1,120R,
"R402, R408",1206,2,0R,
R405,0402,1,2R2,
"R409, R414, R415",0402,3,2k,
R411,0402,1,82k,
"R412, R432, R449",0402,3,0R,
"R417, R418, R428, R430",0402,4,200k,
"R423, R424, R435",0603,3,0R,
"R427, R431",0402,2,130k,
R433,0402,1,51k,
R434,0402,1,13k,
"SW101, SW102, SW201, SW202, SW203, SW204, SW205, SW206, SW207, SW208",SW_Push_4x3mm,10,SW_4x3mm,C18078117
SW401,SW_CuK_OS102011MA1QN1_SPDT_Angled,1,SW_SPDT_312,C431548
U101,ESP32-S3-MINI-1U,1,ESP32-S3-MINI-1,C2980299
U201,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,C7950
U301,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN-L/TR,C8963
U302,E220-400M22S,1,E220-400M22S,C2971737
U401,Vishay_PowerPAK_MLP44-24L_ThermalVias,1,SIC438BED-T1-GE3,C511430
U402,RPW0010A_VQFN-HR-10,1,TPS259474ARPW,C3662807
U403,SOT-23-6,1,LM74700,C2941042
U404,Texas_S-PVSON-N10_ThermalVias,1,LM5166DRCR,C481392
U405,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,BQ25616,C2866447
