Designator,Mid X,Mid Y,Rotation,Layer
C101,124.5,-67.5,90.0,top
C102,124.5,-74.25,90.0,top
C103,132.25,-53.0,270.0,top
C104,124.25,-101.75,270.0,top
C105,125.75,-101.75,270.0,top
C201,101.125,-68.0,0.0,top
C301,112.75,-101.75,180.0,top
C601,84.0,-81.75,0.0,top
C602,80.25,-76.9,180.0,top
C603,80.25,-79.25,180.0,top
C604,80.75,-87.75,0.0,top
C605,78.5,-87.25,270.0,top
C606,79.75,-90.0,0.0,top
C607,77.75,-96.25,180.0,top
C608,77.75,-105.25,180.0,top
C609,93.0,-100.25,0.0,top
C610,93.0,-99.0,0.0,top
C611,93.0,-97.0,0.0,top
C612,93.75,-91.25,0.0,top
C613,101.25,-98.0,0.0,top
C614,107.5,-90.25,90.0,top
C615,105.25,-86.25,0.0,top
C616,108.5,-86.5,270.0,top
C617,101.75,-83.5,90.0,top
C618,99.5,-79.5,0.0,top
C619,102.75,-79.75,270.0,top
C620,91.1,-108.5,0.0,top
C621,101.9,-101.25,180.0,top
C622,91.25,-106.5,270.0,top
C623,101.75,-103.25,90.0,top
D101,119.25,-74.25,90.0,top
D102,117.75,-74.25,90.0,top
D201,65.75,-102.0,90.0,top
D202,64.0,-112.0,0.0,top
D203,134.5,-102.0,90.0,top
D204,136.5,-112.0,0.0,top
D401,103.75,-55.0,180.0,top
D402,106.0,-56.75,270.0,top
D403,103.75,-58.5,180.0,top
D404,101.5,-56.75,270.0,top
D405,101.5,-53.25,270.0,top
D406,103.75,-51.5,180.0,top
D407,106.0,-53.25,270.0,top
D501,96.0,-55.0,180.0,top
D502,98.25,-56.749999,270.0,top
D503,96.0,-58.5,180.0,top
D504,93.75,-56.75,270.0,top
D505,93.75,-53.25,270.0,top
D506,96.0,-51.5,180.0,top
D507,98.25,-53.25,270.0,top
D601,95.0,-80.75,270.0,top
D602,95.0,-77.25,90.0,top
D603,91.25,-112.5,180.0,top
D604,100.0,-112.5,180.0,top
D605,89.25,-99.75,0.0,top
D606,69.25,-103.75,0.0,top
D607,106.5,-78.5,0.0,top
D608,110.0,-92.0,0.0,top
J101,120.69,-117.317499,180.0,top
J102,95.055,-116.5675,0.0,top
J103,138.75,-60.765,0.0,top
J201,64.055,-116.5675,0.0,top
J202,136.555,-116.4675,0.0,top
J401,53.5,-62.0,90.0,top
J402,53.5,-70.5,90.0,top
J403,53.5,-79.0,90.0,top
J404,53.5,-87.5,90.0,top
J405,53.5,-96.0,90.0,top
J406,53.5,-104.5,90.0,top
J407,53.5,-113.0,90.0,top
J501,146.5,-62.0,270.0,top
J502,146.5,-70.5,270.0,top
